record_id,state,taluk_name,rainfall_mm,metric_group,holder_group,value,unit,value_level,is_zero
AG00001,Karnataka,Afzalpur,1437.7,Numbers,Male,37837.0,Count,Medium,No
AG00002,Karnataka,Afzalpur,1437.7,Numbers,Female,12663.0,Count,Medium,No
AG00003,Karnataka,Afzalpur,1437.7,Numbers,Institution,5.0,Count,Low,No
AG00004,Karnataka,Afzalpur,1437.7,Numbers,Total,50505.0,Count,High,No
AG00005,Karnataka,Afzalpur,1437.7,Area,Male,84973.34,Area,High,No
AG00006,Karnataka,Afzalpur,1437.7,Area,Female,25570.26,Area,Medium,No
AG00007,Karnataka,Afzalpur,1437.7,Area,Institution,40.78,Area,Low,No
AG00008,Karnataka,Afzalpur,1437.7,Area,Total,110584.38,Area,High,No
AG00009,Karnataka,Ajjampura,1429.0,Numbers,Male,0.0,Count,Zero,Yes
AG00010,Karnataka,Ajjampura,1429.0,Numbers,Female,0.0,Count,Zero,Yes
AG00011,Karnataka,Ajjampura,1429.0,Numbers,Institution,0.0,Count,Zero,Yes
AG00012,Karnataka,Ajjampura,1429.0,Numbers,Total,0.0,Count,Zero,Yes
AG00013,Karnataka,Ajjampura,1429.0,Area,Male,0.0,Area,Zero,Yes
AG00014,Karnataka,Ajjampura,1429.0,Area,Female,0.0,Area,Zero,Yes
AG00015,Karnataka,Ajjampura,1429.0,Area,Institution,0.0,Area,Zero,Yes
AG00016,Karnataka,Ajjampura,1429.0,Area,Total,0.0,Area,Zero,Yes
AG00017,Karnataka,Aland,1877.8,Numbers,Male,53260.0,Count,High,No
AG00018,Karnataka,Aland,1877.8,Numbers,Female,12869.0,Count,Medium,No
AG00019,Karnataka,Aland,1877.8,Numbers,Institution,30.0,Count,Low,No
AG00020,Karnataka,Aland,1877.8,Numbers,Total,66159.0,Count,High,No
AG00021,Karnataka,Aland,1877.8,Area,Male,124413.89,Area,High,No
AG00022,Karnataka,Aland,1877.8,Area,Female,27056.27,Area,Medium,No
AG00023,Karnataka,Aland,1877.8,Area,Institution,212.97,Area,Low,No
AG00024,Karnataka,Aland,1877.8,Area,Total,151683.13,Area,High,No
AG00025,Karnataka,Alnavara,1416.9,Numbers,Male,0.0,Count,Zero,Yes
AG00026,Karnataka,Alnavara,1416.9,Numbers,Female,0.0,Count,Zero,Yes
AG00027,Karnataka,Alnavara,1416.9,Numbers,Institution,0.0,Count,Zero,Yes
AG00028,Karnataka,Alnavara,1416.9,Numbers,Total,0.0,Count,Zero,Yes
AG00029,Karnataka,Alnavara,1416.9,Area,Male,0.0,Area,Zero,Yes
