Road_ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
R001,Short,Low,Low,Low
R002,Short,Low,Medium,Low
R003,Short,Moderate,Low,Low
R004,Short,Moderate,Medium,Low
R005,Short,High,Low,Medium
R006,Short,High,Medium,High
R007,Medium,Low,Low,Low
R008,Medium,Low,Medium,Low
R009,Medium,Moderate,Low,Low
R010,Medium,Moderate,Medium,Medium
R011,Medium,High,Low,Medium
R012,Medium,High,Medium,High
R013,Long,Low,Low,Low
R014,Long,Low,Medium,Medium
R015,Long,Moderate,Low,Medium
R016,Long,Moderate,Medium,High
R017,Long,High,Low,High
R018,Long,High,Medium,High
R019,Short,Low,High,Medium
R020,Short,Moderate,High,High
R021,Short,High,High,High
R022,Medium,Low,High,Medium
R023,Medium,Moderate,High,High
R024,Medium,High,High,High
R025,Long,Low,High,High
R026,Long,Moderate,High,High
R027,Long,High,High,High
R028,Short,Low,Low,Low
R029,Short,Moderate,Low,Low
R030,Short,High,Low,Medium
R031,Medium,Low,Low,Low
R032,Medium,Moderate,Low,Medium
R033,Medium,High,Low,High
R034,Long,Low,Low,Medium
R035,Long,Moderate,Low,High
R036,Long,High,Low,High
R037,Short,Low,Medium,Low
R038,Short,Moderate,Medium,Medium
R039,Short,High,Medium,High
R040,Medium,Low,Medium,Low
R041,Medium,Moderate,Medium,Medium
R042,Medium,High,Medium,High
R043,Long,Low,Medium,Medium
R044,Long,Moderate,Medium,High
R045,Long,High,Medium,High
R046,Short,Moderate,High,High
R047,Medium,Low,High,Medium
R048,Medium,High,High,High
R049,Long,Low,High,High
R050,Long,High,High,High
