Road_ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
R0001,Short,High,Low,Medium
R0002,Medium,Moderate,Low,Medium
R0003,Short,High,Medium,Medium
R0004,Long,Moderate,High,Medium
R0005,Long,High,Medium,High
R0006,Long,Low,Medium,Medium
R0007,Medium,Low,Medium,Medium
R0008,Short,High,Medium,Medium
R0009,Medium,Low,Low,Low
R0010,Short,Moderate,High,Medium
R0011,Medium,Low,Medium,Low
R0012,Long,Low,Medium,Medium
R0013,Short,Low,High,Low
R0014,Long,Low,Low,Medium
R0015,Long,Low,High,High
R0016,Short,Low,Low,Low
R0017,Medium,Moderate,Medium,Medium
R0018,Medium,Low,Medium,Medium
R0019,Long,High,High,High
R0020,Long,Low,High,High
R0021,Short,High,Medium,Low
R0022,Long,Low,High,Medium
R0023,Long,High,Low,Medium
R0024,Medium,Low,Low,Low
R0025,Medium,Low,Medium,Medium
R0026,Medium,High,Low,Medium
R0027,Long,Low,High,High
R0028,Medium,Moderate,Medium,Medium
R0029,Short,Low,Low,Low
R0030,Long,Moderate,Medium,Low
R0031,Short,High,Low,Medium
R0032,Medium,Low,Medium,Medium
R0033,Medium,High,Low,Low
R0034,Short,Moderate,Low,Low
R0035,Medium,Moderate,Medium,Low
R0036,Medium,Moderate,Medium,Medium
R0037,Short,Low,Medium,Low
R0038,Medium,High,Medium,High
R0039,Short,Moderate,High,Medium
R0040,Short,Moderate,High,High
R0041,Long,Moderate,Low,Medium
R0042,Short,Low,Medium,Medium
R0043,Medium,Low,Low,Low
R0044,Long,Moderate,Medium,Medium
R0045,Medium,Moderate,Medium,Medium
R0046,Long,Moderate,Medium,High
R0047,Long,Moderate,Low,Medium
R0048,Medium,High,High,High
R0049,Short,Moderate,Medium,Medium
R0050,Medium,Low,High,Medium
R0051,Short,Low,High,Low
R0052,Long,Moderate,Medium,Medium
R0053,Short,Low,High,Low
R0054,Medium,Low,Low,Medium
R0055,Medium,Low,Low,Medium
R0056,Medium,Low,Medium,Medium
R0057,Medium,High,Medium,High
R0058,Long,Low,Medium,Low
R0059,Medium,Low,Medium,Medium
R0060,Short,Low,Medium,Low
R0061,Medium,Low,Low,Low
R0062,Medium,Moderate,High,Medium
R0063,Short,Moderate,High,Medium
R0064,Medium,Moderate,Medium,Medium
R0065,Short,Moderate,Low,Low
R0066,Long,Moderate,High,High
R0067,Short,Low,Low,Low
R0068,Medium,Moderate,High,Medium
R0069,Medium,Low,Low,High
R0070,Medium,Low,Medium,Low
R0071,Short,Low,Medium,Low
R0072,Short,Moderate,Medium,Medium
R0073,Medium,Moderate,Medium,Low
R0074,Medium,Low,Low,Medium
R0075,Long,High,Medium,High
R0076,Medium,Moderate,Medium,Medium
R0077,Medium,Low,Medium,Medium
R0078,Medium,Low,Medium,Low
R0079,Long,High,Low,Medium
R0080,Short,Moderate,Low,Low
R0081,Short,Moderate,High,Low
R0082,Medium,High,Medium,Medium
R0083,Short,Low,Low,Low
R0084,Short,Moderate,Medium,Low
R0085,Short,High,Medium,Medium
R0086,Medium,Moderate,High,Medium
R0087,Short,Moderate,Medium,Low
R0088,Short,Low,Low,Low
R0089,Medium,High,Medium,Medium
R0090,Short,High,Low,Medium
R0091,Short,Moderate,Medium,Medium
R0092,Short,Low,Medium,Low
R0093,Long,Low,High,Medium
R0094,Medium,Low,Low,Low
R0095,Long,Low,High,Medium
R0096,Short,Moderate,Low,Low
R0097,Medium,Low,Low,Low
R0098,Medium,Low,Medium,Medium
R0099,Long,Low,Low,Medium
R0100,Medium,Moderate,Medium,High
R0101,Long,Low,Low,Low
R0102,Short,Low,Medium,Low
R0103,Medium,Moderate,High,High
R0104,Long,Moderate,Low,Medium
R0105,Long,Moderate,Low,Medium
R0106,Medium,Moderate,Medium,Medium
R0107,Medium,Low,Low,Low
R0108,Long,Moderate,High,High
R0109,Medium,High,High,Medium
R0110,Short,Moderate,High,Medium
R0111,Short,Moderate,Medium,High
R0112,Medium,Low,Medium,Medium
R0113,Short,Moderate,Medium,Medium
R0114,Short,Moderate,Low,Low
R0115,Long,Low,Medium,Medium
R0116,Short,Moderate,Low,Low
R0117,Long,High,Low,Medium
R0118,Short,Low,Medium,Low
R0119,Short,Moderate,Medium,Low
R0120,Long,High,Low,Low
R0121,Short,Moderate,Low,Low
R0122,Short,High,Low,Low
R0123,Short,Low,Low,Low
R0124,Medium,Moderate,Medium,Medium
R0125,Medium,High,High,High
R0126,Long,High,Low,High
R0127,Short,Moderate,High,Low
R0128,Short,Moderate,Medium,Medium
R0129,Medium,Low,Medium,Medium
R0130,Long,Low,Low,Low
R0131,Long,Low,Medium,Medium
R0132,Short,High,Medium,Medium
R0133,Long,Low,Medium,Medium
R0134,Medium,High,Medium,Medium
R0135,Medium,Low,Low,Low
R0136,Short,Low,Medium,Low
R0137,Long,Low,High,Medium
R0138,Short,High,Medium,Low
R0139,Long,Low,Low,Low
R0140,Medium,Low,Medium,Medium
R0141,Short,Low,Medium,Medium
R0142,Short,High,Low,Medium
R0143,Medium,High,Medium,Medium
R0144,Long,High,High,High
R0145,Medium,High,Medium,Medium
R0146,Medium,Low,Low,Low
R0147,Long,Low,High,Medium
R0148,Medium,Moderate,High,Medium
R0149,Long,Low,Medium,High
R0150,Medium,Moderate,High,Medium
R0151,Long,Low,Low,Low
R0152,Medium,Low,Medium,Medium
R0153,Short,High,Low,Low
R0154,Medium,High,Medium,Medium
R0155,Medium,High,Medium,High
R0156,Long,Moderate,Medium,Medium
R0157,Short,High,Medium,Low
R0158,Short,Moderate,High,Medium
R0159,Medium,High,Low,Low
R0160,Long,Low,High,Medium
R0161,Long,Low,Low,Low
R0162,Medium,High,Medium,High
R0163,Long,Low,Medium,Medium
R0164,Short,Low,Medium,Low
R0165,Short,High,Medium,Medium
R0166,Long,Low,High,Medium
R0167,Long,Moderate,High,Medium
R0168,Long,Low,High,Medium
R0169,Medium,High,Medium,Medium
R0170,Medium,Moderate,Medium,Medium
R0171,Short,Moderate,High,Medium
R0172,Long,Low,Medium,Low
R0173,Medium,Low,Low,Medium
R0174,Short,Moderate,Medium,Low
R0175,Long,High,Medium,High
R0176,Long,Moderate,Medium,Low
R0177,Medium,Moderate,High,Low
R0178,Medium,Moderate,Medium,Low
R0179,Medium,Low,High,Medium
R0180,Short,Low,Low,Low
R0181,Long,High,High,High
R0182,Long,High,Medium,High
R0183,Long,Low,High,High
R0184,Short,Low,Medium,Low
R0185,Short,High,Medium,Low
R0186,Medium,Moderate,Low,Low
R0187,Short,Moderate,Medium,Low
R0188,Short,Low,Low,Low
R0189,Medium,Low,Medium,Medium
R0190,Short,Low,High,Low
R0191,Short,High,High,Medium
R0192,Medium,Moderate,Low,Medium
R0193,Short,Low,Medium,Low
R0194,Long,Moderate,Medium,Medium
R0195,Long,High,Low,Medium
R0196,Medium,Low,Medium,Medium
R0197,Short,Moderate,Medium,Medium
R0198,Short,Moderate,Medium,Medium
R0199,Long,Moderate,High,High
R0200,Short,High,Low,Medium
R0201,Short,Low,High,Low
R0202,Medium,Moderate,Medium,Medium
R0203,Long,Moderate,Medium,Medium
R0204,Short,High,High,Medium
R0205,Long,Moderate,High,High
R0206,Long,Moderate,High,High
R0207,Long,Moderate,Low,Medium
R0208,Long,Moderate,High,High
R0209,Short,Moderate,Low,High
R0210,Short,Moderate,High,Medium
R0211,Long,Moderate,High,Medium
R0212,Medium,Low,Medium,Medium
R0213,Long,Moderate,Medium,Medium
R0214,Short,High,Medium,High
R0215,Short,Moderate,Medium,Low
R0216,Medium,High,Medium,Medium
R0217,Medium,Low,Medium,Medium
R0218,Long,High,Medium,Medium
R0219,Short,Moderate,High,Medium
R0220,Medium,Moderate,Medium,Medium
R0221,Medium,High,Medium,Medium
R0222,Long,Low,Medium,Low
R0223,Long,Low,Medium,Medium
R0224,Short,Moderate,Medium,Low
R0225,Short,Moderate,High,Medium
R0226,Medium,Low,Medium,Low
R0227,Long,High,High,High
R0228,Medium,Low,Medium,Low
R0229,Short,Low,Medium,Low
R0230,Long,High,Low,Medium
R0231,Short,Moderate,Low,Low
R0232,Medium,Moderate,Medium,High
R0233,Medium,Moderate,Medium,Low
R0234,Medium,High,High,High
R0235,Long,Moderate,Medium,Low
R0236,Long,High,High,High
R0237,Short,Moderate,Low,Medium
R0238,Long,Low,Medium,Low
R0239,Medium,Low,Medium,Low
R0240,Medium,Low,Medium,Medium
R0241,Short,High,Medium,Medium
R0242,Long,Low,Low,Low
R0243,Long,Moderate,Low,Medium
R0244,Short,Low,High,Medium
R0245,Medium,Moderate,Low,Medium
R0246,Long,Low,Low,Low
R0247,Long,Moderate,Low,Low
R0248,Short,Low,High,High
